vano;mes;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_cvli;indicador_roubo_rua;indicador_roubo_veic;indicador_roubo_carga;registro_ocorrencias;fase
2003;1;3;0;2;2;7;4;45;1;1;29;9;4;105;10;20;7;0;0;12;0;0; ;70;237;23;1;1;0; ;37;62;0;1;0;3;11; ; ; ;86; ; ; ; ;18;1;0;0;0;0;5;39;105;10;464;3
2003;1;4;0;0;0;4;2;23;1;5;8;1;0;5;1;1;0;0;0;1;0;0; ;7;16;1;1;0;0; ;26;28;0;0;0;0;4; ; ; ;2; ; ; ; ;28;0;1;0;0;0;4;2;5;1;139;3
2003;1;7;0;0;0;7;5;58;1;2;33;3;5;4;0;5;0;0;0;6;0;1; ;5;29;4;0;0;1; ;32;37;0;0;0;8;4; ; ; ;4; ; ; ; ;79;3;0;0;0;0;7;11;4;0;246;3
2003;1;2;0;0;0;2;2;29;2;0;7;0;0;4;2;0;0;0;0;0;0;0; ;2;8;1;1;0;0; ;13;15;0;0;0;2;1; ; ; ;2; ; ; ; ;26;2;0;0;0;0;2;0;4;2;91;3
2003;1;6;0;0;2;8;1;91;7;0;34;9;3;67;14;26;8;0;0;16;0;11; ;47;201;37;17;0;10; ;74;138;0;0;0;10;3; ; ; ;27; ; ; ; ;94;1;1;0;0;0;6;50;67;14;585;3
2003;1;8;0;0;4;12;2;106;5;1;14;4;0;16;1;10;1;0;0;6;0;0; ;12;50;9;1;0;2; ;38;50;0;0;0;1;9; ; ; ;20; ; ; ; ;89;4;1;0;0;0;8;17;16;1;372;3
2003;1;20;0;0;3;23;4;224;8;0;28;8;1;43;7;6;3;0;0;8;0;3; ;24;103;18;6;0;7; ;53;84;0;0;0;4;11; ; ; ;41; ; ; ; ;211;15;2;0;0;0;20;17;43;7;703;3
2003;1;11;0;0;0;11;8;63;4;1;24;2;4;5;2;7;4;0;0;2;0;0; ;6;32;5;1;0;2; ;44;52;0;0;0;3;5; ; ; ;5; ; ; ; ;49;12;0;0;0;0;11;13;5;2;268;3
2003;1;27;0;0;2;29;7;75;2;3;23;7;5;30;3;4;6;0;0;3;0;1; ;16;75;7;2;0;3; ;28;40;0;0;0;1;17; ; ; ;15; ; ; ; ;89;9;0;0;0;0;27;13;30;3;380;3
2003;1;5;1;1;0;7;1;66;3;1;15;4;0;46;4;17;4;0;0;8;0;4; ;35;122;40;5;0;6; ;39;90;0;2;0;6;9; ; ; ;40; ; ; ; ;74;6;0;0;0;0;7;29;46;4;447;3
2003;1;29;0;0;1;30;8;116;6;6;45;4;1;43;5;6;9;0;0;2;0;0; ;27;97;26;0;0;2; ;43;71;0;0;0;5;5; ; ; ;42; ; ; ; ;128;6;1;0;0;0;29;17;43;5;569;3
2003;1;14;0;2;5;21;2;113;7;4;41;19;4;203;15;69;29;0;0;36;0;19; ;157;551;44;20;0;7; ;97;168;0;2;0;24;22; ; ; ;128; ; ; ; ;155;14;3;0;0;0;16;134;203;15;1221;3
2003;1;21;0;0;0;21;9;62;2;4;46;6;0;37;6;7;22;0;0;5;1;0; ;22;106;8;1;1;2; ;35;47;0;0;0;1;5; ; ; ;38; ; ; ; ;39;9;2;0;0;0;21;34;37;6;370;3
2003;1;2;0;0;0;2;2;19;0;0;17;2;0;5;1;1;2;0;0;1;0;0; ;3;15;6;1;1;0; ;12;20;0;0;0;2;0; ; ; ;24; ; ; ; ;24;1;0;0;0;0;2;4;5;1;124;3
2003;1;12;0;0;3;15;1;25;0;0;6;1;1;22;4;6;9;0;0;3;0;0; ;14;60;5;1;0;0; ;15;21;0;0;0;2;15; ; ; ;14; ; ; ; ;27;3;1;0;0;0;12;18;22;4;172;3
